,signature_size,model_ratio,accuracy,f1,loss
0,0,0.0,0.888909101486206,0.8612880849589457,-5.809469186575575
1,2667,0.0020408163265306124,0.8657272458076477,0.8348258112243044,-5.669683980670842
2,5334,0.004081632653061225,0.8413636088371277,0.8069103790155859,-5.6029636475389655
3,8001,0.006122448979591837,0.7507272958755493,0.7139779794432307,-5.215394497524608
4,10668,0.00816326530612245,0.5598182082176208,0.5114824526088273,-0.3206324944929643
5,13335,0.010204081632653062,0.520545482635498,0.46583814416946717,-1.3627601333097978
6,16003,0.012244897959183675,0.4723636507987976,0.4093902705672849,1.0485735286365856
7,18670,0.014285714285714287,0.4063636362552643,0.32752669868779893,1.53028200600364
8,21337,0.0163265306122449,0.5716363787651062,0.5249157400083567,-4.600119173049927
9,24004,0.018367346938775512,0.5349090695381165,0.4903096867518877,-3.2639553056196733
10,26671,0.020408163265306124,0.28354546427726746,0.2266584882380278,-1.2741782080910422
11,29339,0.022448979591836737,0.27936363220214844,0.17660646286021522,3.176767006787387
12,32006,0.02448979591836735,0.367000013589859,0.30541079528395626,-0.23638285584883256
13,34673,0.02653061224489796,0.23427273333072662,0.18254847048921893,0.555570982499556
14,37340,0.028571428571428574,0.19709090888500214,0.13502129506620406,1.7373917319557883
15,40007,0.030612244897959186,0.16390909254550934,0.09758976869423104,2.5891628196022727
16,42675,0.0326530612244898,0.2372727245092392,0.17462067390110855,2.3850275126370515
17,45342,0.03469387755102041,0.10236363857984543,0.04782635649658501,-0.9139897814663974
18,48009,0.036734693877551024,0.10318181663751602,0.03548517225043125,1.142263656616211
19,50676,0.03877551020408164,0.2258181869983673,0.1594424318796126,1.7858368585759943
20,53343,0.04081632653061225,0.17827272415161133,0.13225888346725506,0.6242846707430753
21,56010,0.04285714285714286,0.15172727406024933,0.08921157637068997,-0.4126551062844016
22,58678,0.04489795918367347,0.19154545664787292,0.13929126106364917,3.478605633475564
23,61345,0.04693877551020409,0.10154545307159424,0.04049807263278402,2.095696513089267
24,64012,0.0489795918367347,0.184454545378685,0.12677134047201816,1.7889634316184304
25,66679,0.05102040816326531,0.14263635873794556,0.08889740043665535,-1.2052026505903763
26,69346,0.05306122448979592,0.16436363756656647,0.08472160757150389,3.1098181408968837
27,72014,0.05510204081632654,0.1422727257013321,0.061158082430130434,3.188715677694841
28,74681,0.05714285714285715,0.0825454518198967,0.04311996744602533,2.930842236952348
29,77348,0.05918367346938776,0.1587272733449936,0.08113318599587387,0.8354749901511452
30,80015,0.06122448979591837,0.12327272444963455,0.07948739071179359,-0.9865616392655806
31,82682,0.06326530612244899,0.10036363452672958,0.03163270778480325,-2.1200442400845616
32,85350,0.0653061224489796,0.09099999815225601,0.019742967280671868,5.412496682600541
33,88017,0.0673469387755102,0.1472727209329605,0.08804712725762145,-0.44324081490256567
34,90684,0.06938775510204082,0.12809090316295624,0.06799143936953421,3.7963163230202417
35,93351,0.07142857142857144,0.1337272673845291,0.061024496214503544,2.4628294400301844
36,96018,0.07346938775510205,0.11527273058891296,0.05936710416637772,-0.5786851522272284
37,98685,0.07551020408163266,0.1308181881904602,0.08083436166475375,1.393400524486195
38,101353,0.07755102040816328,0.08954545110464096,0.027122227791324328,6.144096600272439
39,104020,0.07959183673469389,0.15027272701263428,0.0859096789016554,0.8370775715221058
40,106687,0.0816326530612245,0.125,0.05477368989213561,2.4168169146451084
41,109354,0.0836734693877551,0.14281818270683289,0.07528883931885785,0.15088732147216796
42,112021,0.08571428571428572,0.13609090447425842,0.06395344865142714,1.2579193149913441
43,114689,0.08775510204081634,0.09309090673923492,0.021959096161114786,2.438626163829457
44,117356,0.08979591836734695,0.09863636642694473,0.043534528785001574,10.740182548522949
45,120023,0.09183673469387756,0.10181818157434464,0.04926951199631144,2.532610925847834
46,122690,0.09387755102040818,0.1215454563498497,0.04938630938162048,3.5776622089039196
47,125357,0.09591836734693879,0.10090909153223038,0.034956923231096004,1.7043810286088423
48,128025,0.0979591836734694,0.10463636368513107,0.05169858151444374,1.033878863247958
49,130692,0.1,0.09454545378684998,0.037874159313599165,2.7800101082541726
