,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0,-0.303289467246187,0.13619999587535858,0.11568849010442193,-3.3532308253374965,0.09090909361839294,0.016370010990875223
1,-1.2855977314022708,0.1329454481601715,0.11414547300753208,-3.5697424910285256,0.09081818163394928,0.016402637554571504
2,-1.5702357202395796,0.1310727298259735,0.11291860412890789,-3.523185883868824,0.09281817823648453,0.030445302970035858
3,-1.7042442471305417,0.13181817531585693,0.11432969349498152,-2.9560766913674095,0.19327272474765778,0.13726002127219145
4,-1.9321309725178237,0.15043635666370392,0.1326474673707805,-2.4903940742666073,0.24981817603111267,0.1915236199534821
5,-2.116565762946636,0.17601817846298218,0.1592609767963401,-1.7828895980661565,0.2786363661289215,0.22139357827603962
6,-2.317314525959082,0.18676362931728363,0.16919967141661169,-1.1449796113100918,0.19890908896923065,0.1504704338265185
7,-2.399357543072917,0.1923818141222,0.1758843037324264,-0.043196871063926,0.2845454514026642,0.22498278009353045
8,-2.50391266671348,0.20452727377414703,0.1884591196944634,0.6891252712769942,0.2954545319080353,0.2369657541347272
9,-2.6374333089115947,0.22034545242786407,0.20316871398199224,1.2360963832248342,0.28700000047683716,0.24570110140663265
10,-2.8137362956899135,0.23550909757614136,0.2179463695170289,0.5406322435899215,0.22572727501392365,0.1867476570603957
11,-2.9495529491589827,0.24420000612735748,0.227085213666223,1.0905879345807161,0.3261818289756775,0.2867538649084571
12,-3.0423240057819267,0.25145453214645386,0.23459536418694182,0.37629560232162473,0.34227272868156433,0.3024279145249709
13,-3.1364239741726356,0.2621636390686035,0.24394302576977794,-0.22587832429192284,0.3630909025669098,0.3351054335861696
14,-3.2159834131488405,0.27167272567749023,0.2545833946978174,-0.7671846693212335,0.37299999594688416,0.3325478226628403
15,-3.286934900950979,0.281109094619751,0.26267335207569037,-0.5107372609051791,0.40672728419303894,0.37191489898308705
16,-3.3820436065847224,0.29714545607566833,0.27977847413888257,-0.8587590033357794,0.40163636207580566,0.3748443211123474
17,-3.4999986178631133,0.30741816759109497,0.28918115036647424,-2.2813725904984907,0.4290909171104431,0.40082227244455687
18,-3.593256136910482,0.31838181614875793,0.3010057048741708,-3.712368603186174,0.4387272596359253,0.4043678558200392
19,-3.7021482909516834,0.33529090881347656,0.31819729759681714,-3.045933414589275,0.4398181736469269,0.40743317443651483
20,-3.7991127676279706,0.3462909162044525,0.3278804994800056,-3.7694629333236,0.48181816935539246,0.45182253630414004
21,-3.870786787181754,0.3616909086704254,0.34278802977785516,-3.281617410616441,0.5073636174201965,0.4781068294850053
22,-3.941618141534484,0.37221819162368774,0.353732505168551,-2.215792755647139,0.4904545545578003,0.45800303614010834
23,-4.016025080518289,0.38256365060806274,0.36301635494200185,-4.417542601715435,0.5069090723991394,0.48646081359126025
24,-4.06210519881411,0.39270907640457153,0.37291807636105545,-2.98378100828691,0.5407272577285767,0.5166914810073611
25,-4.124260796707505,0.4062545597553253,0.3861367155929178,-2.5855678515000777,0.5336363911628723,0.515316413362405
26,-4.191655443478376,0.4192909002304077,0.39926526342413715,-4.404305890473452,0.5478181838989258,0.5318114401663067
27,-4.222999460223046,0.42576363682746887,0.4046560271008811,-4.506416266614741,0.5546363592147827,0.536017470079264
28,-4.285896396122196,0.44020000100135803,0.41888337481767685,-4.379608183557337,0.5929090976715088,0.5711620040191109
29,-4.334214119572531,0.44781818985939026,0.42705397068281986,-4.419396742365577,0.5897272825241089,0.5692982698952502
30,-4.362230406539006,0.4596000015735626,0.4391207814440264,-5.024789167534221,0.593999981880188,0.5707308956770204
31,-4.410560946335846,0.46672728657722473,0.44620804117149365,-5.037684780359268,0.5949090719223022,0.5783581240061038
32,-4.449592376703566,0.4784727394580841,0.4584165270433369,-5.078501180627129,0.6106363534927368,0.5974656889581148
33,-4.488100398345427,0.4890909194946289,0.46923581035161893,-5.046038976582614,0.6008181571960449,0.5837673277591617
34,-4.5309298286925666,0.4952727258205414,0.4743465994274844,-5.046393652937629,0.6034545302391052,0.5814502501291943
35,-4.548115672560578,0.5022363662719727,0.482053229824574,-5.180601687322963,0.6395454406738281,0.6270481014976629
36,-4.585053063251755,0.5127999782562256,0.4944849516212798,-5.075704770738429,0.6227272748947144,0.6068428788564194
37,-4.615054235045205,0.5180545449256897,0.4983214206452168,-5.146387708728963,0.634181797504425,0.6174681071397405
38,-4.639482931531754,0.5259272456169128,0.5055623778941367,-5.120612787658518,0.6337272524833679,0.6108947686235912
39,-4.6702730939063155,0.5328181982040405,0.5135013769554538,-5.075278704816645,0.6265454292297363,0.6044893201817805
40,-4.688273265524344,0.5363273024559021,0.5162100565458985,-5.119124312834306,0.6419090628623962,0.629195344308503
41,-4.708058556914329,0.5409818291664124,0.5219691063852364,-5.101246656612917,0.6340000033378601,0.6114980569574086
42,-4.728120871795849,0.5453818440437317,0.5272358750742788,-5.134071404283697,0.6440908908843994,0.6286645092745045
43,-4.751891091513363,0.5528545379638672,0.5342987118520222,-5.122910376028581,0.6463636159896851,0.6325113199705534
44,-4.777142687548291,0.5582545399665833,0.5396836249187079,-5.147324987433174,0.6508181691169739,0.6381791393354053
45,-4.776885495748032,0.5597272515296936,0.5423428191224209,-5.2870261176065965,0.6831818222999573,0.6717412207388771
46,-4.811001872826706,0.5667091012001038,0.5489494344680352,-5.065227477658879,0.6357272863388062,0.6105518655635067
47,-4.836429900607433,0.5741090774536133,0.5554856428025656,-5.042201975800774,0.6377272605895996,0.62179121457933
48,-4.839623144106431,0.5736545324325562,0.555623151459041,-5.156613446365704,0.656181812286377,0.6468769577144737
49,-4.850069923969833,0.5781272649765015,0.5603829783791413,-5.179533659869974,0.6688181757926941,0.6565857612470699
