,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0,-3.9024311448887667,0.30110910534858704,0.27535665242435303,-3.3312997601249,0.48209092020988464,0.4642290103709749
1,-4.985410018780015,0.535909116268158,0.5036289110587704,-4.711129503900355,0.46936362981796265,0.4239822548073961
2,-5.2362148118831895,0.6392182111740112,0.611068447919708,-5.399206950989637,0.6967272758483887,0.687666219385617
3,-5.363441534475847,0.6899818181991577,0.6643320519411899,-5.29363736781207,0.6677272915840149,0.6449384906690571
4,-5.457271950949322,0.7278181910514832,0.7062298345576101,-5.468567073345184,0.7362727522850037,0.723080641677565
5,-5.52584144375541,0.7523090839385986,0.7315255369477415,-5.545942563902248,0.7601818442344666,0.7466215835793273
6,-5.582179797542366,0.7717272639274597,0.7518187183433429,-5.568674526973204,0.7786363363265991,0.7684765960226788
7,-5.625452992049131,0.7886363863945007,0.7687999590561574,-5.447832181778821,0.7369999885559082,0.7229806665531412
8,-5.666042551560835,0.8020545244216919,0.7828657482488097,-5.700653673843904,0.8142727017402649,0.8060404345555415
9,-5.679648077813062,0.8093090653419495,0.7904217569342136,-5.606293174353513,0.7839999794960022,0.7758004643800844
10,-5.7181042742729185,0.8212727308273315,0.8031367305692704,-5.767458794875578,0.8376363515853882,0.8303100326204333
11,-5.744228248433633,0.8316909074783325,0.8151039207637706,-5.7229930116371674,0.8244545459747314,0.8134150986038977
12,-5.771698666810989,0.8408545255661011,0.8250785919090291,-5.738636143370108,0.8300908803939819,0.8185698573419192
13,-5.789091343237934,0.847527265548706,0.8317425697748907,-5.574901257861744,0.7733636498451233,0.7604020131466598
14,-5.810591837276112,0.8506181836128235,0.8359154140885748,-5.796852378953587,0.8508181571960449,0.8441804653501874
15,-5.826209974072197,0.8582909107208252,0.8427003898637276,-5.789482076330619,0.8475454449653625,0.8410606747453881
16,-5.838046435984698,0.8620181679725647,0.8477176639503425,-5.799607266350226,0.8545454740524292,0.8469795881413763
17,-5.858736363324252,0.8699636459350586,0.8557595147829071,-5.8168671342459595,0.8613636493682861,0.8553224354269694
18,-5.866801754452966,0.871963620185852,0.8583669986370877,-5.805642720786008,0.8549090623855591,0.8468875237746881
19,-5.883920559991489,0.8771818280220032,0.8641705986897965,-5.70535728985613,0.8265454769134521,0.8228391278066701
20,-5.89636292533441,0.8829636573791504,0.8700228319486927,-5.7960454431447115,0.8516363501548767,0.844252845402361
21,-5.909582062417811,0.8858545422554016,0.874022197495055,-5.786373476277698,0.8537272810935974,0.8508951968740096
22,-5.922331287644126,0.8905454277992249,0.8782791692995667,-5.811635811897841,0.8615454435348511,0.8531418811432437
23,-5.92973058050329,0.8926363587379456,0.8805990580667696,-5.846176959032362,0.8730000257492065,0.8664302364116888
24,-5.93886029438539,0.8949454426765442,0.8836277613203379,-5.826054443283515,0.8652727007865906,0.8569706949818778
25,-5.945994697809219,0.8976545333862305,0.8863618008440738,-5.83261442550204,0.8644545674324036,0.8569133975198351
26,-5.945737271904945,0.8995272517204285,0.8885170838377343,-5.797287602316249,0.8597272634506226,0.8501320434292553
27,-5.963457402749495,0.9039090871810913,0.8925178102238932,-5.840704280544411,0.8743636608123779,0.8678284121123108
28,-5.968056286519224,0.9050545692443848,0.8941016906209012,-5.841316572102634,0.8715454339981079,0.8649525572486552
29,-5.984368030862375,0.911472737789154,0.9015777759782814,-5.815800393305041,0.8681818246841431,0.8608966020401045
